Date,Station,Location,Latitude,Longitude,Weather,Cause,Accident_type,Ship_num,Total_people,Rescued_people,Injured_people,Dead_people,Missed_people,Vessel_type,Tons,Seasons,Month,Hour
2011/02/20 13:20,태안,항계 내,36.33333333,126.5166667,양호,기타,침수,1,0,0,0,0,0,어선,7.93,겨울,2,13
2011/02/20 17:50,울산,영해,35.36777778,129.3633333,양호,기타,표류,1,4,4,0,0,0,요트,6.04,겨울,2,17
2011/02/21 7:35,포항,항계 내,36.03333333,129.5777778,양호,정비불량,침수,1,0,0,0,0,0,어선,3.5,겨울,2,7
2011/02/21 10:50,부산,항계 내,35.06666667,129,양호,기타,화재,1,10,10,0,0,0,어선,393,겨울,2,10
2011/02/22 4:30,서귀포,공해,29.28333333,126.3666667,양호,정비불량,기관이상,1,9,9,0,0,0,어선,29,겨울,2,4
2011/02/22 7:15,통영,영해,34.73333333,128.45,양호,운항부주의,표류,1,1,1,0,0,0,어선,2.09,겨울,2,7
2011/02/23 19:45,목포,EEZ-30마일 이내,35.01666667,125.3833333,양호,기타,기관이상,1,5,5,0,0,0,어선,21,겨울,2,19
2011/02/24 12:07,통영,항계 내,34.64194444,128.5577778,양호,정비불량,키손상,1,44,44,0,0,0,여객선,29,겨울,2,12
2011/02/25 5:00,군산,항계 내,36.12666667,126.2138889,양호,운항부주의,추진기이상,1,2,2,0,0,0,낚시어선,9.77,겨울,2,5
2011/02/25 6:30,속초,영해,37.96944444,128.7661111,황천3급,운항부주의,충돌,2,2,2,0,0,0,어선,2.99,겨울,2,6
2011/02/26 0:10,속초,영해,37.225,129.3452778,황천3급,관리소홀,표류,1,0,0,0,0,0,어선,2.14,겨울,2,0
2011/02/26 7:40,울산,영해-EEZ,35.41888889,129.9247222,황천5급,운항부주의,충돌,2,11,11,0,0,0,어선,22,겨울,2,7
2011/02/26 8:20,완도,영해,32.28138889,126.4086111,황천5급,기타,추진기이상,1,3,3,0,0,0,어선,2.78,겨울,2,8
2011/02/26 9:05,부산,영해,35.08333333,129.1166667,양호,기타,기관이상,1,2,2,0,0,0,어선,2.49,겨울,2,9
2011/02/26 14:24,군산,항계 내,35.93888889,126.5166667,양호,운항부주의,침수,1,1,1,0,0,0,어선,1.45,겨울,2,14
