Weather,latitude,longitude,Ship_Type,Accident_Type
양호,33.95,124.85,어선,기관이상
양호,36.9,129.7666667,어선,기관이상
황천4급,35.36305556,130.3808333,어선,충돌
양호,34.93333333,128.4888889,어선,운항저해
양호,34.90277778,128.3063889,어선,침수
저시정,34.7725,126.3522222,어선,기관이상
저시정,34.59333333,126.1869444,어선,기관이상
양호,34.88333333,126.3666667,요트,기관이상
양호,37.18333333,126.2833333,모터보트,기관이상
저시정,34.37305556,127.3816667,예부선,충돌
양호,35.03333333,128.55,요트,기관이상
황천5급,37.43333333,126.1,어선,기관이상
양호,37.78333333,129.4666667,어선,기관이상
양호,34.60972222,127.7936111,어선,침수
양호,36.60027778,126.24,어선,운항저해
풍랑주의보,35.48416667,129.4297222,어선,침수
황천4급,32.13611111,125.1777778,예부선,충돌
황천4급,32.76666667,127.4666667,어선,기관이상
양호,34.16666667,127.5333333,어선,기관이상
양호,34.88333333,129.2166667,어선,침수
양호,34.4,125.95,어선,기관이상
양호,34.4,126.9333333,어선,기관이상
양호,37.18333333,125.8,어선,기관이상
양호,37.41666667,126.5666667,어선,기관이상
양호,37.68333333,126.3,예부선,기관이상
양호,36.35,126.3333333,어선,운항저해
황천5급,31.76666667,127.6,어선,기관이상
양호,35.13333333,129.2166667,예부선,기관이상
양호,35.85,126.45,모터보트,운항저해
양호,34.61027778,127.7375,기타,기관이상
양호,34.90638889,128.4963889,어선,침수
황천5급,35.3675,130.1511111,어선,기관이상
양호,34.96555556,127.8497222,어선,운항저해
양호,35.48416667,129.4297222,어선,화재
양호,34.43111111,125.9161111,어선,기관이상
양호,37.00083333,126.0691667,화물선,충돌
양호,36,129.5833333,어선,기관이상
양호,34.40388889,127.0655556,어선,침수
황천5급,35.8,129.9333333,어선,기관이상
양호,37.79416667,128.9772222,어선,기관이상
양호,33.55638889,126.6755556,기타,전복
양호,37.34111111,126.5888889,어선,기관이상
풍랑주의보,35.8,126.1166667,어선,기관이상
양호,34.95,129.0833333,어선,기관이상
양호,34.59305556,127.5163889,여객선,기관이상
양호,34.83694444,125.8066667,화물선,충돌
양호,34.81472222,126.3572222,기타,운항저해
저시정,34.26666667,127.9777778,어선,기관이상
양호,37.15444444,126.4,어선,기관이상
양호,35.03333333,125.9166667,어선,기관이상
양호,37.10138889,126.5502778,모터보트,기관이상
양호,37.25,129.4166667,어선,기관이상
양호,37.25388889,126.0916667,유도선,운항저해
양호,35.65555556,126.4638889,모터보트,기관이상
양호,35.65555556,126.4638889,어선,침수
